"CO2 emissions by sector in Germany",Value,Year,Units
"Electricity and heat producers",335.237,2000, Mt CO2
"Electricity and heat producers",349.396,2001, Mt CO2
"Electricity and heat producers",350.094,2002, Mt CO2
"Electricity and heat producers",360.909,2003, Mt CO2
"Electricity and heat producers",354.937,2004, Mt CO2
"Electricity and heat producers",350.59,2005, Mt CO2
"Electricity and heat producers",354.652,2006, Mt CO2
"Electricity and heat producers",367.874,2007, Mt CO2
"Electricity and heat producers",346.877,2008, Mt CO2
"Electricity and heat producers",320.115,2009, Mt CO2
"Electricity and heat producers",338.044,2010, Mt CO2
"Electricity and heat producers",330.917,2011, Mt CO2
"Electricity and heat producers",341.63,2012, Mt CO2
"Electricity and heat producers",346.304,2013, Mt CO2
"Electricity and heat producers",327.324,2014, Mt CO2
"Electricity and heat producers",322.596,2015, Mt CO2
"Electricity and heat producers",321.808,2016, Mt CO2
"Electricity and heat producers",303.887,2017, Mt CO2
"Electricity and heat producers",287.113,2018, Mt CO2
"Electricity and heat producers",239.062,2019, Mt CO2
"Electricity and heat producers",203.956,2020, Mt CO2
"Electricity and heat producers",233.522,2021, Mt CO2
"Electricity and heat producers",238.056,2022, Mt CO2
"Industry",102.739,2000, Mt CO2
"Industry",96.44,2001, Mt CO2
"Industry",95.843,2002, Mt CO2
"Industry",98.571,2003, Mt CO2
"Industry",97.065,2004, Mt CO2
"Industry",94.771,2005, Mt CO2
"Industry",96.659,2006, Mt CO2
"Industry",96.048,2007, Mt CO2
"Industry",99.868,2008, Mt CO2
"Industry",86.868,2009, Mt CO2
"Industry",98.351,2010, Mt CO2
"Industry",97.181,2011, Mt CO2
"Industry",94.249,2012, Mt CO2
"Industry",93.804,2013, Mt CO2
"Industry",91.246,2014, Mt CO2
"Industry",95.118,2015, Mt CO2
"Industry",93.219,2016, Mt CO2
"Industry",95.138,2017, Mt CO2
"Industry",98.339,2018, Mt CO2
"Industry",93.43,2019, Mt CO2
"Industry",93.357,2020, Mt CO2
"Industry",93.744,2021, Mt CO2
"Industry",88.454,2022, Mt CO2
"Transport",173.47,2000, Mt CO2
"Transport",169.536,2001, Mt CO2
"Transport",167.123,2002, Mt CO2
"Transport",164.036,2003, Mt CO2
"Transport",163.989,2004, Mt CO2
"Transport",155.629,2005, Mt CO2
"Transport",153.483,2006, Mt CO2
"Transport",148.38,2007, Mt CO2
"Transport",148.893,2008, Mt CO2
"Transport",147.059,2009, Mt CO2
"Transport",148.123,2010, Mt CO2
"Transport",149.942,2011, Mt CO2
"Transport",148.513,2012, Mt CO2
"Transport",152.366,2013, Mt CO2
"Transport",154.573,2014, Mt CO2
"Transport",157.59,2015, Mt CO2
"Transport",161.024,2016, Mt CO2
"Transport",163.491,2017, Mt CO2
"Transport",157.66,2018, Mt CO2
"Transport",160.038,2019, Mt CO2
"Transport",142.451,2020, Mt CO2
"Transport",139.872,2021, Mt CO2
"Transport",140.957,2022, Mt CO2
"Residential",118.889,2000, Mt CO2
"Residential",130.295,2001, Mt CO2
"Residential",121.661,2002, Mt CO2
"Residential",120.075,2003, Mt CO2
"Residential",112.914,2004, Mt CO2
"Residential",110.34,2005, Mt CO2
"Residential",112.654,2006, Mt CO2
"Residential",86.823,2007, Mt CO2
"Residential",104.106,2008, Mt CO2
"Residential",96.991,2009, Mt CO2
"Residential",103.998,2010, Mt CO2
"Residential",87.679,2011, Mt CO2
"Residential",93.607,2012, Mt CO2
"Residential",99.079,2013, Mt CO2
"Residential",82.549,2014, Mt CO2
"Residential",84.75,2015, Mt CO2
"Residential",89.133,2016, Mt CO2
"Residential",87.541,2017, Mt CO2
"Residential",85.695,2018, Mt CO2
"Residential",90.307,2019, Mt CO2
"Residential",92.256,2020, Mt CO2
"Residential",84.547,2021, Mt CO2
"Residential",85.207,2022, Mt CO2
"Commercial and public services",42.133,2000, Mt CO2
"Commercial and public services",46.813,2001, Mt CO2
"Commercial and public services",43.337,2002, Mt CO2
"Commercial and public services",52.758,2003, Mt CO2
"Commercial and public services",50.208,2004, Mt CO2
"Commercial and public services",49.318,2005, Mt CO2
"Commercial and public services",55.56,2006, Mt CO2
"Commercial and public services",42.612,2007, Mt CO2
"Commercial and public services",49.445,2008, Mt CO2
"Commercial and public services",45.646,2009, Mt CO2
"Commercial and public services",45.394,2010, Mt CO2
"Commercial and public services",40.783,2011, Mt CO2
"Commercial and public services",42.39,2012, Mt CO2
"Commercial and public services",47.499,2013, Mt CO2
"Commercial and public services",43.243,2014, Mt CO2
"Commercial and public services",44.866,2015, Mt CO2
"Commercial and public services",44.063,2016, Mt CO2
"Commercial and public services",44.027,2017, Mt CO2
"Commercial and public services",35.165,2018, Mt CO2
"Commercial and public services",32.487,2019, Mt CO2
"Commercial and public services",31.769,2020, Mt CO2
"Commercial and public services",37.45,2021, Mt CO2
"Commercial and public services",28.705,2022, Mt CO2
"Agriculture",0.738,2000, Mt CO2
"Agriculture",0.7,2001, Mt CO2
"Agriculture",0.676,2002, Mt CO2
"Agriculture",0.129,2003, Mt CO2
"Agriculture",0.125,2004, Mt CO2
"Agriculture",0.061,2005, Mt CO2
"Agriculture",0.032,2006, Mt CO2
"Agriculture",0,2007, Mt CO2
"Agriculture",0,2008, Mt CO2
"Agriculture",0,2009, Mt CO2
"Agriculture",0.775,2010, Mt CO2
"Agriculture",0.915,2011, Mt CO2
"Agriculture",0.752,2012, Mt CO2
"Agriculture",0.728,2013, Mt CO2
"Agriculture",0.863,2014, Mt CO2
"Agriculture",0.745,2015, Mt CO2
"Agriculture",0.781,2016, Mt CO2
"Agriculture",0.595,2017, Mt CO2
"Agriculture",6.986,2018, Mt CO2
"Agriculture",7.049,2019, Mt CO2
"Agriculture",7.05,2020, Mt CO2
"Agriculture",7.19,2021, Mt CO2
"Agriculture",7.289,2022, Mt CO2
"Fishing",0,2000, Mt CO2
"Fishing",0,2001, Mt CO2
"Fishing",0,2002, Mt CO2
"Fishing",0,2003, Mt CO2
"Fishing",0,2004, Mt CO2
"Fishing",0,2005, Mt CO2
"Fishing",0,2006, Mt CO2
"Fishing",0,2007, Mt CO2
"Fishing",0,2008, Mt CO2
"Fishing",0,2009, Mt CO2
"Fishing",0,2010, Mt CO2
"Fishing",0,2011, Mt CO2
"Fishing",0,2012, Mt CO2
"Fishing",0,2013, Mt CO2
"Fishing",0,2014, Mt CO2
"Fishing",0,2015, Mt CO2
"Fishing",0,2016, Mt CO2
"Fishing",0,2017, Mt CO2
"Fishing",0.069,2018, Mt CO2
"Fishing",0.05,2019, Mt CO2
"Fishing",0.05,2020, Mt CO2
"Fishing",0.05,2021, Mt CO2
"Fishing",0.047,2022, Mt CO2
"Final consumption not elsewhere specified",10.327,2000, Mt CO2
"Final consumption not elsewhere specified",10.486,2001, Mt CO2
"Final consumption not elsewhere specified",10.535,2002, Mt CO2
"Final consumption not elsewhere specified",0.902,2003, Mt CO2
"Final consumption not elsewhere specified",0.841,2004, Mt CO2
"Final consumption not elsewhere specified",1.013,2005, Mt CO2
"Final consumption not elsewhere specified",0.784,2006, Mt CO2
"Final consumption not elsewhere specified",0.583,2007, Mt CO2
"Final consumption not elsewhere specified",0.523,2008, Mt CO2
"Final consumption not elsewhere specified",0.517,2009, Mt CO2
"Final consumption not elsewhere specified",0.53,2010, Mt CO2
"Final consumption not elsewhere specified",0.48,2011, Mt CO2
"Final consumption not elsewhere specified",0.468,2012, Mt CO2
"Final consumption not elsewhere specified",0.434,2013, Mt CO2
"Final consumption not elsewhere specified",0.381,2014, Mt CO2
"Final consumption not elsewhere specified",0.357,2015, Mt CO2
"Final consumption not elsewhere specified",0.32,2016, Mt CO2
"Final consumption not elsewhere specified",0.258,2017, Mt CO2
"Final consumption not elsewhere specified",0.227,2018, Mt CO2
"Final consumption not elsewhere specified",0.183,2019, Mt CO2
"Final consumption not elsewhere specified",0.153,2020, Mt CO2
"Final consumption not elsewhere specified",0.155,2021, Mt CO2
"Final consumption not elsewhere specified",0.205,2022, Mt CO2
"Other energy industries",28.774,2000, Mt CO2
"Other energy industries",27.809,2001, Mt CO2
"Other energy industries",28.629,2002, Mt CO2
